similarity,name,label,study,domain,sub_domain,source,metric,atlas,table_name,table_label,instruction,header,note,unit,type_var,type_data,type_level,type_field,order_display,branching_logic,label_es,instruction_es,header_es,note_es,table_nda,table_nda_5_0,table_redcap,name_nda,name_deap,name_redcap,name_redcap_exp,url_table,url_warn_use,url_warn_data,url_table_warn_use,url_table_warn_data,url_docs_score,name_short,name_stata,identifier_columns,image_assessment,image_brain,json_brain,order_sort
0.441,mh_p_ksads__ed__an__bingeprg__pres_dx,"Diagnosis: Anorexia nervosa, binge eating/purging subtype (F50.02) - Present [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_13_929_p | ksads2_13_890_p,ksads2_13_890_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__an__bingeprg__pres_dx,mh_p_ksads_ed_0024,participant_id | session_id,,,,24
0.439,mh_p_ksads__ptsd__pres_dx,Diagnosis: Post-traumatic stress disorder (F43.10) - Present [Parent],Core,Mental Health,Stress,Parent,,,mh_p_ksads__ptsd,KSADS - Post-Traumatic Stress Disorder [Parent],,,,,summary score,character,nominal,,,,,,,,abcd_ksad01 | ksads2daic_use_only_p01,mh_p_ksads_ss,,ksads_21_921_p | ksads2_21_881_p,ksads2_21_881_p,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ptsd__pres_dx,mh_p_ksads_ptsd_0057,participant_id | session_id,,,,57
0.438,mh_y_ksads__suic__actv__mthd__past_dx,"Diagnosis: Suicidal ideation, active method - Past [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_959_t | ksads2_23_919_t,ksads2_23_919_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__actv__mthd__past_dx,mh_y_ksads_suic_0032,participant_id | session_id,,,,32
0.438,mh_y_ksads__ed__an__bingeprg__partrem_dx,"Diagnosis: Anorexia nervosa, binge eating/purging subtype (F50.02) - Partial remission [Youth]",Core,Mental Health,Eating,Youth,,,mh_y_ksads__ed,KSADS - Eating Disorders [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_13_930_t | ksads2_13_891_t,ksads2_13_891_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__ed__an__bingeprg__partrem_dx,mh_y_ksads_ed_0025,participant_id | session_id,,,,25
0.438,mh_y_ksads__suic__actv__int__past_dx,"Diagnosis: Suicidal ideation, active intent - Past [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_960_t | ksads2_23_920_t,ksads2_23_920_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__actv__int__past_dx,mh_y_ksads_suic_0030,participant_id | session_id,,,,30
0.437,mh_y_ksads__suic__actv__mthd__pres_dx,"Diagnosis: Suicidal ideation, active method - Present [Youth]",Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_948_t | ksads2_23_908_t,ksads2_23_908_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__actv__mthd__pres_dx,mh_y_ksads_suic_0033,participant_id | session_id,,,,33
0.437,su_y_ksads__aud__unspec__pres_dx,Diagnosis: Unspecified alcohol use disorder (F10.99) - Present [Youth],Core,Substance Use,SU Consequence,Youth,,,su_y_ksads__aud,KSADS - Alcohol Use Disorder [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_19_895_t | ksads2_19_853_t,ksads2_19_853_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/su.html#su_y_ksads__aud,,,,,,su_y_ksads__aud__unspec__pres_dx,su_y_ksads_aud_0036,participant_id | session_id,,,,36
0.436,mh_y_ksads__suic__none__pres_dx,Diagnosis: No suicidal ideation or behavior - Present [Youth],Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_955_t | ksads2_23_915_t,ksads2_23_915_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__none__pres_dx,mh_y_ksads_suic_0049,participant_id | session_id,,,,49
0.436,mh_p_ksads__ed__an__oth__past_dx,"Diagnosis: Other specified feeding or eating disorder, atypical anorexia nervosa (F50.8) - Past [Parent]",Core,Mental Health,Eating,Parent,,,mh_p_ksads__ed,KSADS - Eating Disorders [Parent],,,,,summary score,character,nominal,,,,,,,,,mh_p_ksads_ss,,ksads_13_971_p | ksads2_13_999_p,,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_p_ksads,,,,,,mh_p_ksads__ed__an__oth__past_dx,mh_p_ksads_ed_0029,participant_id | session_id,,,,29
0.435,mh_y_ksads__suic__none__past_dx,Diagnosis: No past suicidal ideation or behavior - Past [Youth],Core,Mental Health,Harm,Youth,,,mh_y_ksads__suic,KSADS - Suicidality [Youth],,,,,summary score,character,nominal,,,,,,,,abcd_ksad501 | ksads2daic_use_only01,mh_y_ksads_ss,,ksads_23_966_t | ksads2_23_926_t,ksads2_23_926_y,,,https://docs.abcdstudy.org/latest/documentation/non_imaging/mh.html#mh_y_ksads,,,,,,mh_y_ksads__suic__none__past_dx,mh_y_ksads_suic_0048,participant_id | session_id,,,,48
